file,emotion,AU01,AU02,AU04,AU05,AU06,AU07,AU09,AU10,AU11,AU12,AU14,AU15,AU17,AU20,AU23,AU24,AU25,AU26,AU28,AU43
gkyikczg_4,fear,0.6095031499862671,0.2854003012180328,0.0871609225869178,0.5368355512619019,0.0463972613215446,0.0,0.0839974731206893,0.0112815303727984,0.0,0.012332109734416,0.1323954612016677,0.120997630059719,0.3846117258071899,0.0,0.2578052282333374,0.1828336715698242,0.5798356533050537,0.2078137695789337,0.02691494487226,0.0242522433400154
popboqzp_4,fear,0.4185359477996826,0.1435388177633285,0.6010081768035889,0.6955238580703735,0.0792388319969177,0.0,0.1694640070199966,0.4594318866729736,0.0,0.0443377904593944,0.2011220455169677,0.7857799530029297,0.4914760887622833,0.0,0.3110833466053009,0.6076451539993286,0.0452803336083889,0.0463024601340293,0.1896521747112274,0.0504518412053585
olkydrza_4,fear,0.7083426713943481,0.4751112461090088,0.6500184535980225,0.7157288193702698,0.0721292570233345,0.0,0.1193757280707359,0.0043199006468057,1.0,0.0524848476052284,0.1209188774228096,0.4139640927314758,0.4548205435276031,0.0,0.416324257850647,0.0632649585604667,0.9727495908737184,0.5449019074440002,0.1542995125055313,0.1646559834480285
lzhxemve_4,fear,0.72606360912323,0.4555807411670685,0.6073172092437744,0.4186867177486419,0.0878447592258453,0.0,0.1118662282824516,0.0458934195339679,0.0,0.0239796172827482,0.1998163908720016,0.7180776000022888,0.57698655128479,0.0,0.5768782496452332,0.5781996250152588,0.0305393673479557,0.1906751096248626,0.3127217888832092,0.0865774452686309
xurjmrkr_4,fear,0.4642960131168365,0.1990846693515777,0.4412575960159302,0.6378875374794006,0.0658522844314575,0.0,0.0990635976195335,0.0767487734556198,1.0,0.0160686261951923,0.0356959961354732,0.0802860185503959,0.2684504687786102,0.0,0.2205476611852646,0.0248572826385498,0.9870750308036804,0.1711252778768539,0.1179494336247444,0.0324181318283081
iimkbovt_4,fear,0.2839899361133575,0.1734452545642852,0.3340058326721191,0.6953790783882141,0.0526090748608112,0.0,0.0820337086915969,0.060419887304306,0.0,0.0313385985791683,0.2622859179973602,0.1769995093345642,0.4991742968559265,0.0,0.4131071269512176,0.6201204657554626,0.2918253540992737,0.1850742846727371,0.361881822347641,0.0389243178069591
azdjnflr_4,fear,0.5945539474487305,0.4002465903759002,0.458197683095932,0.3758439421653747,0.1091545671224594,0.0,0.1373374313116073,0.0030160518363118,0.0,0.0387798547744751,0.0752961635589599,0.5466196537017822,0.5323603749275208,0.0,0.1396124511957168,0.399086058139801,0.774674117565155,0.1190478652715683,0.1117782145738601,0.1143943220376968
qofjqgzd_4,fear,0.3807008564472198,0.3299468457698822,0.2207426875829696,0.7128704786300659,0.0681779608130455,0.0,0.0998860672116279,0.0664839819073677,0.0,0.0127636278048157,0.1011392846703529,0.0745412334799766,0.2569568455219269,0.0,0.2965352535247803,0.0406523197889328,0.9980875849723816,0.8693642020225525,0.1078036949038505,0.0462192185223102
nxdrnpnp_4,fear,0.8664913177490234,0.4103480875492096,0.2319047451019287,0.5030124187469482,0.0796621739864349,0.0,0.0836425498127937,0.0035106823779642,0.0,0.0137069560587406,0.1460717916488647,0.3923661708831787,0.6011359691619873,0.0,0.496673047542572,0.3130571246147156,0.6517783999443054,0.2144292593002319,0.0211099125444889,0.0716115832328796
hlpvgfan_4,fear,0.2571666836738586,0.2046246975660324,0.1798687875270843,0.3314428925514221,0.1014090031385421,0.0,0.0964526459574699,0.0472273416817188,1.0,0.0667079016566276,0.1741345375776291,0.2086421102285385,0.3675850033760071,0.0,0.1883870065212249,0.377701997756958,0.2138408124446869,0.0589838474988937,0.213610902428627,0.1870800852775573
